yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX22346.1	A0A2B4RYX1	A0A2B4RYX1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13106	Stylophora pistillata (Smooth cauliflower coral)	463			
PFX16501.1	A0A2B4RFW8	A0A2B4RFW8_STYPI	unreviewed	Transposon TX1 uncharacterized 149 kDa protein	AWC38_SpisGene19219	Stylophora pistillata (Smooth cauliflower coral)	4817	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX20110.1	A0A2B4RU83	A0A2B4RU83_STYPI	unreviewed	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene15449	Stylophora pistillata (Smooth cauliflower coral)	707	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	
PFX21035.1	A0A2B4RXQ8	A0A2B4RXQ8_STYPI	unreviewed	Putative serine/threonine-protein kinase	AWC38_SpisGene14499	Stylophora pistillata (Smooth cauliflower coral)	1114	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	
RMX61091.1	A0A3M6V5C2	A0A3M6V5C2_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00010543	Pocillopora damicornis	291			
RMX37142.1	A0A3M6T708	A0A3M6T708_9CNID	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	pdam_00023299	Pocillopora damicornis	1334	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
PFX33144.1	A0A2B4SR48	A0A2B4SR48_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2026	Stylophora pistillata (Smooth cauliflower coral)	830			
RMX42655.1	A0A3M6TMK4	A0A3M6TMK4_9CNID	unreviewed	Uncharacterized protein	pdam_00025172	Pocillopora damicornis	185	metal ion binding [GO:0046872]	GO:0046872	
PFX13647.1	A0A2B4RBA3	A0A2B4RBA3_STYPI	unreviewed	Uncharacterized protein K02A2.6 (Fragment)	K02A2.6 AWC38_SpisGene22255	Stylophora pistillata (Smooth cauliflower coral)	1095	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX14536.1	A0A2B4RBL8	A0A2B4RBL8_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene21297	Stylophora pistillata (Smooth cauliflower coral)	1189	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
KFD54770.1	A0A085MC24	A0A085MC24_9BILA	unreviewed	Uncharacterized protein (Fragment)	M513_04470	Trichuris suis (pig whipworm)	920	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
EDO28806.1	A7T5F7	A7T5F7_NEMVE	unreviewed	Predicted protein	v1g222583	Nematostella vectensis (Starlet sea anemone)	545			
PFX15432.1	A0A2B4RGQ5	A0A2B4RGQ5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20343	Stylophora pistillata (Smooth cauliflower coral)	185			
PFX12834.1	A0A2B4R3B8	A0A2B4R3B8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23142	Stylophora pistillata (Smooth cauliflower coral)	314			
PFX13783.1	A0A2B4RAE5	A0A2B4RAE5_STYPI	unreviewed	Transposon Tf2-9 polyprotein	Tf2-9 AWC38_SpisGene22106	Stylophora pistillata (Smooth cauliflower coral)	763	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RUA05110.1	A0A432I4J1	A0A432I4J1_9GAMM	unreviewed	Endonuclease (EC 2.7.7.49) (Reverse transcriptase)	DSY43_05330	Gammaproteobacteria bacterium	1576	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074	
PFX25039.1	A0A2B4S7H5	A0A2B4S7H5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10330	Stylophora pistillata (Smooth cauliflower coral)	244			
PFX25048.1	A0A2B4S8Z3	A0A2B4S8Z3_STYPI	unreviewed	Reverse transcriptase domain-containing protein	AWC38_SpisGene10322	Stylophora pistillata (Smooth cauliflower coral)	818	smoothened signaling pathway [GO:0007224]	GO:0007224	
PFX13432.1	A0A2B4RB37	A0A2B4RB37_STYPI	unreviewed	Putative nuclease HARBI1	HARBI1 AWC38_SpisGene22478	Stylophora pistillata (Smooth cauliflower coral)	524			
PFX26207.1	A0A2B4SCA1	A0A2B4SCA1_STYPI	unreviewed	Coiled-coil domain-containing protein 180	CCDC180 AWC38_SpisGene9125	Stylophora pistillata (Smooth cauliflower coral)	1848	DNA binding [GO:0003677]	GO:0003677	
RLJ22758.1	A0A497U340	A0A497U340_9BACT	unreviewed	Integrase catalytic domain-containing protein (Fragment)	DJ031_00290	bacterium endosymbiont of Escarpia laminata	810	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX13931.1	A0A2B4R8G0	A0A2B4R8G0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21959	Stylophora pistillata (Smooth cauliflower coral)	319			
RMX41061.1	A0A3M6TI98	A0A3M6TI98_9CNID	unreviewed	Uncharacterized protein	pdam_00003265	Pocillopora damicornis	237			
PFX34409.1	A0A2B4SZ23	A0A2B4SZ23_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene675	Stylophora pistillata (Smooth cauliflower coral)	718			
PFX29272.1	A0A2B4SLA6	A0A2B4SLA6_STYPI	unreviewed	Sterile alpha motif domain-containing protein 3	SAMD3 AWC38_SpisGene5985	Stylophora pistillata (Smooth cauliflower coral)	1069			
RMX57404.1	A0A3M6UV23	A0A3M6UV23_9CNID	unreviewed	Uncharacterized protein	pdam_00006990	Pocillopora damicornis	170			
PFX24050.1	A0A2B4S5H7	A0A2B4S5H7_STYPI	unreviewed	Nephrocystin-4	Nphp4 AWC38_SpisGene11392	Stylophora pistillata (Smooth cauliflower coral)	823	cytoskeleton [GO:0005856]; non-motile cilium [GO:0097730]; negative regulation of canonical Wnt signaling pathway [GO:0090090]	GO:0005856; GO:0090090; GO:0097730	
PFX12260.1	A0A2B4R6Z8	A0A2B4R6Z8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23811	Stylophora pistillata (Smooth cauliflower coral)	982			
PFX28579.1	A0A2B4SHI9	A0A2B4SHI9_STYPI	unreviewed	Gag-Pol polyprotein	gag-pol AWC38_SpisGene6716	Stylophora pistillata (Smooth cauliflower coral)	942	DNA binding [GO:0003677]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0003677; GO:0009007	
PFX11873.1	A0A2B4R4Y2	A0A2B4R4Y2_STYPI	unreviewed	DUF1891 domain-containing protein	AWC38_SpisGene24261	Stylophora pistillata (Smooth cauliflower coral)	584	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0016706	
PFX18468.1	A0A2B4RQ75	A0A2B4RQ75_STYPI	unreviewed	ATP-dependent DNA helicase Q1	Recql AWC38_SpisGene17167	Stylophora pistillata (Smooth cauliflower coral)	475	ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004386; GO:0005524	
RMX45852.1	A0A3M6TWX0	A0A3M6TWX0_9CNID	unreviewed	DUF4371 domain-containing protein	pdam_00024360	Pocillopora damicornis	522			
PFX13153.1	A0A2B4R8K7	A0A2B4R8K7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22791	Stylophora pistillata (Smooth cauliflower coral)	414			
PFX13025.1	A0A2B4R9R5	A0A2B4R9R5_STYPI	unreviewed	DUF5641 domain-containing protein	AWC38_SpisGene22935	Stylophora pistillata (Smooth cauliflower coral)	1301			
PFX12866.1	A0A2B4R6S8	A0A2B4R6S8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23107	Stylophora pistillata (Smooth cauliflower coral)	548			
PFX20940.1	A0A2B4RWK0	A0A2B4RWK0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14594	Stylophora pistillata (Smooth cauliflower coral)	452			
PFX31283.1	A0A2B4SQD3	A0A2B4SQD3_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene3906	Stylophora pistillata (Smooth cauliflower coral)	1120	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX14821.1	A0A2B4RAY7	A0A2B4RAY7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20998	Stylophora pistillata (Smooth cauliflower coral)	392			
PFX13527.1	A0A2B4RXR3	A0A2B4RXR3_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene13079 AWC38_SpisGene15430 AWC38_SpisGene16979 AWC38_SpisGene18190 AWC38_SpisGene19288 AWC38_SpisGene22382 AWC38_SpisGene2255 AWC38_SpisGene2283 AWC38_SpisGene8669	Stylophora pistillata (Smooth cauliflower coral)	416	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	
PFX14187.1	A0A2B4RCW7	A0A2B4RCW7_STYPI	unreviewed	BTB/POZ domain-containing protein KCTD6	kctd6 AWC38_SpisGene21677	Stylophora pistillata (Smooth cauliflower coral)	921	protein homooligomerization [GO:0051260]	GO:0051260	
PFX26660.1	A0A2B4SCV9	A0A2B4SCV9_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene8688	Stylophora pistillata (Smooth cauliflower coral)	843	integral component of membrane [GO:0016021]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0016021	
RMX46471.1	A0A3M6TYP0	A0A3M6TYP0_9CNID	unreviewed	Uncharacterized protein	pdam_00017822	Pocillopora damicornis	224			
RMX58100.1	A0A3M6UWV3	A0A3M6UWV3_9CNID	unreviewed	Uncharacterized protein	pdam_00013829	Pocillopora damicornis	199			
PFX33257.1	A0A2B4SXV8	A0A2B4SXV8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene1939	Stylophora pistillata (Smooth cauliflower coral)	366			
PFX19435.1	A0A2B4RT54	A0A2B4RT54_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16152	Stylophora pistillata (Smooth cauliflower coral)	438			
PFX28959.1	A0A2B4SIL1	A0A2B4SIL1_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene6319	Stylophora pistillata (Smooth cauliflower coral)	262	nucleic acid binding [GO:0003676]	GO:0003676	
PFX32579.1	A0A2B4STW4	A0A2B4STW4_STYPI	unreviewed	Zinc finger protein 862	ZNF862 AWC38_SpisGene2592	Stylophora pistillata (Smooth cauliflower coral)	1847			
PFX22695.1	A0A2B4S2I1	A0A2B4S2I1_STYPI	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)	pol AWC38_SpisGene12788	Stylophora pistillata (Smooth cauliflower coral)	814	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX28399.1	A0A2B4SH28	A0A2B4SH28_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene6903	Stylophora pistillata (Smooth cauliflower coral)	1077	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX22582.1	A0A2B4S253	A0A2B4S253_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12890	Stylophora pistillata (Smooth cauliflower coral)	336			
PFX30323.1	A0A2B4SMN9	A0A2B4SMN9_STYPI	unreviewed	Nuclear pore complex protein Nup107	Nup107 AWC38_SpisGene4873	Stylophora pistillata (Smooth cauliflower coral)	1507	nuclear pore [GO:0005643]; structural constituent of nuclear pore [GO:0017056]	GO:0005643; GO:0017056	
PFX23700.1	A0A2B4S4I2	A0A2B4S4I2_STYPI	unreviewed	L-fucose kinase	FUK AWC38_SpisGene11725	Stylophora pistillata (Smooth cauliflower coral)	2441	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; kinase activity [GO:0016301]	GO:0004930; GO:0016021; GO:0016301	
PFX34999.1	A0A2B4T0R6	A0A2B4T0R6_STYPI	unreviewed	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B)	MOCS2 AWC38_SpisGene176	Stylophora pistillata (Smooth cauliflower coral)	266	cytosol [GO:0005829]; molybdopterin synthase complex [GO:0019008]; molybdopterin synthase activity [GO:0030366]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GO:0005829; GO:0006777; GO:0019008; GO:0030366	
EDO30392.1	A7T0X5	A7T0X5_NEMVE	unreviewed	Predicted protein	v1g248414	Nematostella vectensis (Starlet sea anemone)	282			
PFX25237.1	A0A2B4S9H1	A0A2B4S9H1_STYPI	unreviewed	Uncharacterized transposon-derived protein F52C9.6	F52C9.6 AWC38_SpisGene10164	Stylophora pistillata (Smooth cauliflower coral)	903			
PFX27021.1	A0A2B4SAV5	A0A2B4SAV5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene8312	Stylophora pistillata (Smooth cauliflower coral)	245	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]	GO:0005344; GO:0019825; GO:0020037; GO:0046872	
PFX15735.1	A0A2B4RHI8	A0A2B4RHI8_STYPI	unreviewed	ATP-dependent DNA helicase PIF1	pif1 AWC38_SpisGene20039	Stylophora pistillata (Smooth cauliflower coral)	347	ATP binding [GO:0005524]; helicase activity [GO:0004386]	GO:0004386; GO:0005524	
PFX12669.1	A0A2B4R772	A0A2B4R772_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23332	Stylophora pistillata (Smooth cauliflower coral)	696			
PFX13679.1	A0A2B4RA41	A0A2B4RA41_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene22214	Stylophora pistillata (Smooth cauliflower coral)	1915	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX23233.1	A0A2B4S2G2	A0A2B4S2G2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12248	Stylophora pistillata (Smooth cauliflower coral)	1200			
RMX36775.1	A0A3M6T5R7	A0A3M6T5R7_9CNID	unreviewed	Uncharacterized protein	pdam_00008965	Pocillopora damicornis	203			
PFX34674.1	A0A2B4SVG9	A0A2B4SVG9_STYPI	unreviewed	Peptidyl-prolyl cis-trans isomerase-like 6	PPIL6 AWC38_SpisGene502	Stylophora pistillata (Smooth cauliflower coral)	303	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	GO:0003755	
PFX27456.1	A0A2B4SDL3	A0A2B4SDL3_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene7841	Stylophora pistillata (Smooth cauliflower coral)	453	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
AHX00586.1	A0A023NFG9	A0A023NFG9_9CNID	unreviewed	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Cu ZnSOD	Galaxea astreata	156	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	GO:0004784; GO:0046872	
PIK34949.1	A0A2G8JGW0	A0A2G8JGW0_STIJA	unreviewed	Reverse transcriptase domain-containing protein	BSL78_28226	Stichopus japonicus (Sea cucumber)	239			
PFX19519.1	A0A2B4RRT9	A0A2B4RRT9_STYPI	unreviewed	MADF domain-containing protein	AWC38_SpisGene16067	Stylophora pistillata (Smooth cauliflower coral)	238			
PFX19520.1	A0A2B4RSJ9	A0A2B4RSJ9_STYPI	unreviewed	DDE Tnp4 domain-containing protein	AWC38_SpisGene16068	Stylophora pistillata (Smooth cauliflower coral)	317			
RMX51057.1	A0A3M6UBI9	A0A3M6UBI9_9CNID	unreviewed	SUEL-type lectin domain-containing protein	pdam_00018896	Pocillopora damicornis	144	carbohydrate binding [GO:0030246]	GO:0030246	
PFX21409.1	A0A2B4RX80	A0A2B4RX80_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene14098	Stylophora pistillata (Smooth cauliflower coral)	433			
RMX36745.1	A0A3M6T5P3	A0A3M6T5P3_9CNID	unreviewed	C2H2-type domain-containing protein	pdam_00025602	Pocillopora damicornis	265			
PFX35065.1	A0A2B4T387	A0A2B4T387_STYPI	unreviewed	DmX-like protein 2	DMXL2 AWC38_SpisGene116	Stylophora pistillata (Smooth cauliflower coral)	3087			
PFX22918.1	A0A2B4S2Y0	A0A2B4S2Y0_STYPI	unreviewed	Melatonin receptor type 1A	AWC38_SpisGene12568	Stylophora pistillata (Smooth cauliflower coral)	557	integral component of membrane [GO:0016021]; neuropeptide Y receptor activity [GO:0004983]	GO:0004983; GO:0016021	
PFX34888.1	A0A2B4T276	A0A2B4T276_STYPI	unreviewed	Ras-related protein Rab-10	AWC38_SpisGene134	Stylophora pistillata (Smooth cauliflower coral)	432	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	
RMX47223.1	A0A3M6U0N8	A0A3M6U0N8_9CNID	unreviewed	Uncharacterized protein	pdam_00025636	Pocillopora damicornis	391			
PFX21549.1	A0A2B4RXM1	A0A2B4RXM1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13963	Stylophora pistillata (Smooth cauliflower coral)	821			
PFX13572.1	A0A2B4RBH1	A0A2B4RBH1_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22334	Stylophora pistillata (Smooth cauliflower coral)	1695	regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]	GO:0007165; GO:0042981	
PFX22036.1	A0A2B4RY00	A0A2B4RY00_STYPI	unreviewed	Zinc finger MYM-type protein 1	ZMYM1 AWC38_SpisGene13452	Stylophora pistillata (Smooth cauliflower coral)	1643	DNA binding [GO:0003677]	GO:0003677	
PFX30073.1	A0A2B4SLX3	A0A2B4SLX3_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene5168	Stylophora pistillata (Smooth cauliflower coral)	744	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
ACT79640.1	C7ENG8	C7ENG8_ACRMI	unreviewed	Transposase		Acropora millepora (Staghorn coral) (Heteropora millepora)	543			
PFX33034.1	A0A2B4SQT3	A0A2B4SQT3_STYPI	unreviewed	Putative nuclease HARBI1	harbi1 AWC38_SpisGene2080	Stylophora pistillata (Smooth cauliflower coral)	712			
PFX15059.1	A0A2B4RE14	A0A2B4RE14_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20741	Stylophora pistillata (Smooth cauliflower coral)	364			
PFX17271.1	A0A2B4RI36	A0A2B4RI36_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18418	Stylophora pistillata (Smooth cauliflower coral)	198			
PFX11789.1	A0A2B4R4P7	A0A2B4R4P7_STYPI	unreviewed	Integrase catalytic domain-containing protein	AWC38_SpisGene24365	Stylophora pistillata (Smooth cauliflower coral)	741	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX33921.1	A0A2B4SVL2	A0A2B4SVL2_STYPI	unreviewed	DDE Tnp4 domain-containing protein	AWC38_SpisGene1062	Stylophora pistillata (Smooth cauliflower coral)	424			
PFX23464.1	A0A2B4RYE3	A0A2B4RYE3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11989	Stylophora pistillata (Smooth cauliflower coral)	633			
PFX29172.1	A0A2B4SL01	A0A2B4SL01_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene6088	Stylophora pistillata (Smooth cauliflower coral)	292			
RMX36746.1	A0A3M6T5P2	A0A3M6T5P2_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00025601	Pocillopora damicornis	201			
PFX28382.1	A0A2B4SIT4	A0A2B4SIT4_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene6867	Stylophora pistillata (Smooth cauliflower coral)	254	nucleic acid binding [GO:0003676]	GO:0003676	
PFX21154.1	A0A2B4RRT7	A0A2B4RRT7_STYPI	unreviewed	Twinfilin-1	Twf1 AWC38_SpisGene14362	Stylophora pistillata (Smooth cauliflower coral)	811	actin binding [GO:0003779]; negative regulation of actin filament polymerization [GO:0030837]	GO:0003779; GO:0030837	
PFX32768.1	A0A2B4SW31	A0A2B4SW31_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2435	Stylophora pistillata (Smooth cauliflower coral)	1413			
PFX30086.1	A0A2B4SL37	A0A2B4SL37_STYPI	unreviewed	Glutathione peroxidase	GPX1 AWC38_SpisGene5132	Stylophora pistillata (Smooth cauliflower coral)	347	glutathione peroxidase activity [GO:0004602]; intracellular signal transduction [GO:0035556]; response to oxidative stress [GO:0006979]	GO:0004602; GO:0006979; GO:0035556	
RMX59005.1	A0A3M6UZB2	A0A3M6UZB2_9CNID	unreviewed	Uncharacterized protein	pdam_00018175	Pocillopora damicornis	277			
PVD22635.1	A0A2T7NN93	A0A2T7NN93_POMCA	unreviewed	Reverse transcriptase domain-containing protein	C0Q70_15890	Pomacea canaliculata (Golden apple snail)	242			
PFX13632.1	A0A2B4RBM8	A0A2B4RBM8_STYPI	unreviewed	SAP domain-containing protein	AWC38_SpisGene22270	Stylophora pistillata (Smooth cauliflower coral)	587			
EDO31917.1	A7SWJ3	A7SWJ3_NEMVE	unreviewed	Predicted protein	v1g218585	Nematostella vectensis (Starlet sea anemone)	430			
QCF40879.1	A0A4D6Q3R2	A0A4D6Q3R2_EUPAN	unreviewed	Guanylate cyclase (EC 4.6.1.2)	rGC2	Euphyllia ancora (Hammer coral)	1056	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	
PFX15237.1	A0A2B4RFW0	A0A2B4RFW0_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene20548	Stylophora pistillata (Smooth cauliflower coral)	618	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
RMX47110.1	A0A3M6U0B9	A0A3M6U0B9_9CNID	unreviewed	Uncharacterized protein	pdam_00021755	Pocillopora damicornis	122			
PFX13244.1	A0A2B4R4H9	A0A2B4R4H9_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene22692	Stylophora pistillata (Smooth cauliflower coral)	773	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX23528.1	A0A2B4S4P2	A0A2B4S4P2_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene11930	Stylophora pistillata (Smooth cauliflower coral)	1169	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX37995.1	A0A3M6T9D3	A0A3M6T9D3_9CNID	unreviewed	Uncharacterized protein	pdam_00012286	Pocillopora damicornis	141			
RMX56957.1	A0A3M6UTQ5	A0A3M6UTQ5_9CNID	unreviewed	Uncharacterized protein	pdam_00024623	Pocillopora damicornis	666			
RMX46994.1	A0A3M6U0D6	A0A3M6U0D6_9CNID	unreviewed	Uncharacterized protein	pdam_00024445	Pocillopora damicornis	261			
PFX23763.1	A0A2B4S3Y2	A0A2B4S3Y2_STYPI	unreviewed	HECT domain-containing protein	AWC38_SpisGene11679	Stylophora pistillata (Smooth cauliflower coral)	149	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
PFX23252.1	A0A2B4S408	A0A2B4S408_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12197	Stylophora pistillata (Smooth cauliflower coral)	629			
